Name,Description,CalculatedPopularityScore,carbohydrates,fat,protein,calories,protein-cal-ratio,Label,Image,UrlLink,Latitude,Longitude,,,
Jiaozi,"<p>These Chinese dumplings known as jiaozi, consisting of a thinly rolled piece of dough which contains either meat or a vegetable filling, are one of the most popular and most commonly eaten dishes in China and East Asia. They can be served either as an appetizer, a side dish, or as the main course, always with a side of soy sauce-based dipping sauce, but traditionally, jiaozi are always eaten for Chinese New Year. Depending on how they are cooked, jiaozi dumplings can be classified into three categories: boiled, steamed, and pan-fried, but when it comes to folding techniques, there are many, and the most popular one is known as <em>pinched-edge fold,</em> which results in crescent-shaped jiaozi, the most popular shape in China. Well-known variations of jiaozi dumplings include the smaller variety <em>gaau ji</em> that has a thin, translucent wrapping, the pan-fried <em>guotie</em>, and the Japanese-style dumpling, <em>gyoza</em>.</p>",66,34.49789474,5.898947368,8.767894737,233.0623684,0.037620379,Jiaozi,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/9a7b1fa7d06e44e6b0e0e9b8500a8828.png,jiaozi,39.90500959,116.3902436,,,
Mousse,"<p>This light, fluffy, creamy sweet or savory treat hails from 18th-century France. The word <em>mousse</em> itself means <em>foam</em> in French, and its foamy texture comes from the air bubbles held in suspension throughout it. Sweet mousses are usually made with whipped egg whites or whipped cream, and they come in numerous flavors such as chocolate, vanilla, or strawberry. The most famous, of course, is the chocolate mousse, or <em>mousse au chocolat</em>. Although it isn't known who the inventor of the dish is, the first recipe for chocolate mousse is believed to date from the second half of the 19th century. Once a specialty exclusive to French cuisine, mousse began appearing in American and British restaurants in the 1960s. Today, it enjoys incredible popularity and a place on the table in restaurants worldwide.</p>",66,13.085,6.227,4.863,149.35,0.032561098,Mousse,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/06ee2239006a4511b5be1fdf490700d3.png,mousse,48.85613168,2.356753159,,,
Dim sum,"<p>Dim sum is a variety of bite-sized food that is usually served with tea. It can range from savory dumplings, buns, and noodle rolls to sweet puddings and tarts. The term <em>dim sum</em> translates to<em> touch the heart</em>, and according to legend, it was invented many centuries ago by cooks of the Royal Court in order to touch the heart of Chinese emperors (but not to fully satiate their hunger). What started as a simple snack is now a key part of Chinese culture. It is also a ritual family dish eaten on most weekend mornings in Hong Kong. Each dish usually consists of a few pieces of dim sum varieties, served in steamer baskets or on small plates, making them great for sharing or trying out new flavors. Whether it is steamed dumplings with pork and prawns, spring rolls, stuffed crab claws, rice porridge congee, pork buns, <em>wo tip</em> dumplings with ground meat or rice noodle rolls, a variety of dim sum will satisfy even the most demanding consumers.</p>",65,19.83033,9.78184,7.58015,189.2823,0.040046798,Dim sum,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/7e35477ec56c4725bd1991b2efad5789.png,dim-sum,23.13783831,113.3183043,,,
Brownies,"<p>Deliciously chewy, dense and fudgy with a rich chocolate flavor, the beloved brownies are one of the most popular American desserts. Some claim that Bertha Palmer, wife of the owner of <em>Palmer House Hotel</em>, asked the chef to invent a new chocolate dessert to serve at the 1893 Colombian Exposition. Others say that it was an accident, when Brownie Schrumpf, a librarian, excluded baking powder from a chocolate cake and was left with a thick, black cake bar. Regardless of the origins, what really popularized the brownies were instant, boxed mixes from the 1950s made by two brands - <em>Duncan Hines</em> and <em>Betty Crocker</em>. Of course, the best brownies are not the ones from a box. Some prefer them underbaked, moist, and fudgy on the interior, while some like them well-baked until they develop a spongy texture. The chocolate used for brownies must be of high quality, dark and bittersweet. Nowadays, there is a number of brownie varieties with added walnuts, pecans, chocolate chips, or even chili powder. Portable, easy to prepare and satisfying, brownies are said to taste the best when paired with a glass of cold milk.</p>",63,23.865,9.645,2.635,196.3,0.013423332,Brownies,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/39620601d2824997b8951d1dbbfd72d3.png,brownies,38.89727023,-77.0365771,,,
Paella,"<p>Widely acclaimed as the most popular Spanish dish, paella combines saffron-flavored rice with a wide array of additional ingredients, such as seafood, vegetables, or meat. Although the original paella was created in Valencia, where it was made with seasonal vegetables, poultry, and rabbit, in modern-day Spain the name is used to denote all rice dishes prepared in a <em>paellera </em>or<em> paella - </em>the traditional shallow pan. The exact additional ingredients used in paella have long been a matter of dispute, but what everyone agrees on is that each paella should have a crispy, caramelized bottom and a subtle saffron flavor. Always served in the pan, this Spanish classic can be found everywhere in the country, in an endless number of combinations.</p>",62,32.03392632,10.05131579,11.84100526,259.0868421,0.045702843,Paella,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/dae51bd5823a41889f27a63ccfbd323f.png,paella,39.47086499,-0.477080858,,,
Cheeseburger,"<p>Cheeseburger is a natural evolution of the beloved hamburger, the only difference between the two being that the cheeseburger has a slice of cheese added on top of the meat patty. Although American cheese was the original choice, Swiss, Cheddar, and numerous blue cheeses were all used later to make this mouth-watering sandwich. As with most dishes that are extremely popular, the history of the cheeseburger is somewhat complicated. Adding cheese to hamburgers didn't become popular until the mid-1920s, and there are numerous claims as to who invented the first cheeseburger. The most popular theory by far says that it was invented by a 16-year-old short-order cook named Lionel Clark Sternberger at a restaurant called <em>The Rite Spot</em> in Pasadena, California, when he added a slice of American cheese to a sizzling meat patty. Other places also claimed that they invented the cheeseburger, such as <em>Kaelin's Restaurant</em> from Louisville, Kentucky, saying they first made it in 1934. However, the trademark for the name was given to Louis Ballast of the <em>Humpty Dumpty Drive-In</em> in Denver, Colorado in 1935. Today, there are numerous variations on the classic cheeseburger, so it may contain more than one slice of cheese or more than one patty, while the toppings range from bacon, eggs, and ham to chili peppers, mushroom, onions, and guacamole.</p>",61,40.55264,34.1223,22.261895,459.9655,0.048399054,Cheeseburger,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/0fc26b8ee5f249009b4b7840237ef882.png,cheeseburger,34.16970094,-118.1483195,,,
Mac and Cheese,"<p>One of the most popular dishes in the United States known as mac and cheese combines tender, yet firm pasta and melted cheese. The preferred American combination includes curved macaroni pasta and Cheddar cheese, but modern varieties include various vegetables, crispy breadcrumb topping, or gourmet ingredients such as crab, lobster, or truffles. Although it is an American staple, the dish was probably inspired by various pasta and cheese dishes that were enjoyed in Italy, France, and the United Kingdom, before its appearance in the United States. It was Thomas Jefferson who eventually popularized it, when he had the pasta machine shipped back home to Virginia and served the dish at his lavish banquets, while in 1824, his distant cousin Mary Randolph published the first mac and cheese recipe. The dish was further popularized in 1937, when the American company <em>Kraft</em> placed the boxed variety on the market. It was cheap and easy to prepare, but also a meal that could feed the whole family. Nowadays, mac and cheese is the ultimate comfort food dish in the United States, and in 2007, it was proclaimed the fourth most iconic American food in a survey conducted by <em>James Beard Foundation</em>.</p>",61,38.294505,11.92861,12.841405,356.54935,0.036015786,Mac and Cheese,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/9123b408549b42d3995e7063f9a09e36.png,mac-and-cheese,37.53935264,-77.44853518,,,
Wagashi,"<p>Wagashi are traditional Japanese sweets that are usually made from natural, plant-based ingredients such as grains and azuki beans. The sweet treats are typically served with tea and are classified into three categories: <em>namagashi</em> (fresh confectionery), <em>han namagashi</em> (half-dry confectionery), and <em>higashi</em> (dry confectionery). Wagashi is characterized by its design, so in spring, when cherry blossom is in full bloom, the producers make wagashi in cherry blossom shapes, using cherry petals or leaves. The origins of these sweets date back to the Yayoi Era when there was nothing more than natural nuts, fruits, and berries, so wagashi was influenced by the grain processing skills introduced from China. Most of the basic forms of wagashi seen today are derived from that era. The introduction of sugar helped in further development of wagashi, and during the early Edo Period, the sweets developed into numerous varieties and started to be used at tea ceremonies, given as gifts, or consumed as afternoon snacks. After that, wagashi was perfected into the style that we know and love today.</p>",60,31.72368421,3.378947368,3.580526316,172.6842105,0.020734532,Wagashi,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/2352313e3342450ca0c5559c8c8d28ef.png,wagashi,35.68364231,139.7593182,,,
Barbecue,"<p>Modern American barbecue stems directly from <em>barbacoa</em>, the tradition of smoke-cooking meat which Caribbean natives were doing long before the colonists arrived. Today, the centuries-old technique of smoking whole hogs over a pit is now common in both Virginia and North Carolina. Barbecue was originally found mostly in rural areas, but in recent years it has moved to bigger cities, and how could it not with the aromatic and fragrant appeal of tender, juicy meats, elevating the mouth-watering bites to cult status. Varieties of barbecue are greatly linked to geography with styles varying wildly from North to South and East to West. In Eastern North Carolina, the hog is slowly cooked over coals and doused for hours in a spicy sauce of red pepper flakes and vinegar while being chopped or 'pulled' throughout the process. Pulled pork meat is then stuffed into tender white buns and topped with fresh, mayonnaise-flavored coleslaw. In Western North Carolina, Lexington-style barbecue is king with slowly cooked pork shoulders heavily seasoned with pepper, vinegar, and ketchup sauce. Texas barbecue replaces pork with tender beef briskets cooked in pits, while Kentuckians like to slowly cook mutton in Worcesteshire sauce. Louisiana barbecue differs from all the rest, as the pulled meat served in a soft bun with slaw comes from a suckling pig. Similarly, in South Carolina, pulled pork is drizzled with a mustard and vinegar sauce, while in Kansas the barbecue pork is served on bread with a sauce based on tomatoes and molasses. Traveling to Memphis, one can find barbecued pork ribs with a flavorful, spicy crust achieved by a special dry-rub seasoning. More than just a cooking technique, barbecue is a subculture of its own with rivalry between neighboring states and contests for titles at numerous competitions throughout the South.</p>",58,10.06157895,3.801578947,5.901052632,115.1578947,0.051243144,Barbecue,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/a357da5ca0d34953b19fee4ad3804b69.png,bbq,29.76016627,-95.36449618,,,
Yakitori,"<p>Yakitori refers to Japanese grilled chicken where pieces of chicken meat are skewered with a particular type of skewer called <em>kushi </em>(which can be made from either steel or bamboo) and are then traditionally grilled over a charcoal fire. Depending on the cut of chicken and the method of preparation, there are various types of this dish. An important step in the making of yakitori is the seasoning, either salty or salty-sweet, which can be done during or after grilling. Salty seasoning is just salt that can sometimes be combined with pepper, while salty-sweet seasoning is actually <em>tare</em> sauce made from <em>mirin</em>, soy sauce, sake, and sugar. Present-day versions of yakitori first appeared during the Meiji Era in the 19th century, but once chicken became abundantly available in the 1950s, the popularity of skewered chicken skyrocketed and the dish became popular among the masses. In Japan, yakitori can be purchased in specialized yakitori shops called <em>yakitori-ya</em>, but it is also often served in Japanese gastropubs known as <em>izakaya</em>. Since skewered chicken is so easy to prepare, plus it's portable, it is also a popular street food sold at <em>yatai</em>, the small Japanese food stalls. The dish is meant to be eaten with hands only, often directly off the skewer, and can be paired with a side of roasted vegetables, while each bite should ideally be washed down with ice-cold beer.</p>",58,10.22430556,5.572555556,10.76430556,135.3431111,0.079533457,Yakitori,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/b2964506be394ed1907480a8bdf9ab3a.png,yakitori,35.68021011,139.7634368,,,
Onigiri,"<p>Moist, chewy, and hearty, onigiri or omusubi are Japanese rice balls and a favorite picnic food since the 11th century, when they were known as <em>tonjiki</em> and recorded as such in the diary of Lady Murasaki, author of <em>The Tale of Genji </em>(which is believed to be the world's first novel!). However, the origins of the dish are much earlier than the time of Lady Murasaki. In the Nara period, before chopsticks became popular, rice used to be rolled into small balls in order to be easily picked up and consumed. Typically, onigiri is wrapped in nori seaweed, but that practice did not come about until the late 16th century. The stuffings might include salmon, umeboshi plums, grilled or pickled mushrooms, or various vegetables. Today, onigiri is often made at home and sold everywhere throughout Japan, from parks and beaches to convenience stores or upscale grocery stores.</p>",58,35.74101579,3.890863158,4.428331579,200.1118421,0.022129283,Onigiri,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/4add50769898480498594eb37dc319d6.png,onigiri,35.68283083,139.7615723,,,
Roti,"<p>Roti is a flat and unleavened bread made with wholemeal flour. It is traditionally cooked on an iron griddle called <em>tava</em>, an important vessel in the Indian cuisine. In Indian cuisine, roti is as essential as rice. There are several theories regarding its origin. One says that it was invented in Persia, when it was made with maida and was much thicker than today's rotis. Another theory says that it traveled to India from East Africa, where unleavened bread was a staple and the production of wheat was abundant. The Ayurveda dates it back to India's Vedic period. Regardless of the origin, roti is nowadays popular throughout the world, in countries such as Pakistan, Nepal, Sri Lanka, Maldives, South Africa, and South Asia. Its name stems from the Sanskrit word <em>??????????????????</em>, meaning <em>bread</em>. There are many variations of the basic roti, such as <em>chapati, makki di roti, tandoori roti</em>, and<em> roti canai</em>. It is commonly used as an accompaniment to various dishes, including curries, and on the Caribbean, it is commonly used as a sandwich wrap and consumed as street food.</p>",57,30.5535,8.748,13.9825,259.65,0.053851338,Roti,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/c3963e57d9b848308297706a2c665ee5.png,roti,28.61313467,77.2171315,,,
Risotto,"<p>This widely popular and extremely versatile group of dishes consists of a base of rice and stock. Butter, saffron, and parmesan are some of the ingredients most often combined with the base to make a variety of flavorful risottos. The history of the dish is rife with conflicting theories about its origins, however, it is certain that rice was first introduced to Italy by the Arabs during the Middle Ages. Since the Mediterranean climate was perfect for growing short-grain rice, it began being sold in huge amounts, primarily in Venice, Genoa, and the surrounding areas. As rice gained in popularity, it became a staple food of the Po valley, Lombardy, Piedmont, Veneto, and the city of Milan. It was only a matter of time before rice was combined with saffron, which the Milan region was famous for, and the legendary risotto alla Milanese was invented. Even today, risotto is still usually prepared using the same key components: rice, stock, butter, wine, parmesan, saffron, and onions. The dish is served throughout the world, so there are also a number of varieties with ingredients such as truffles, squid ink, asparagus, sausage, scallops, and veal.</p>",57,47.69777778,6.741111111,8.713888889,322.6111111,0.027010505,Risotto,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/533927674d0d41178e023d74d4925f42.png,risotto,45.46421083,9.191198963,,,
